127.0.0.1 - - [21/Aug/2018:07:19:11 +0900] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [21/Aug/2018:07:19:12 +0900] "GET /Travel_Project/fileUploadForm2.jsp HTTP/1.1" 200 436
0:0:0:0:0:0:0:1 - - [21/Aug/2018:07:19:12 +0900] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [21/Aug/2018:07:23:40 +0900] "GET /Travel_Project/insertForm.jsp HTTP/1.1" 200 3674
0:0:0:0:0:0:0:1 - - [21/Aug/2018:07:23:40 +0900] "GET /Travel_Project/body_css_info.css HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [21/Aug/2018:07:23:40 +0900] "GET /Travel_Project/font/NANUMBARUNPENB.TTF HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:07:26:47 +0900] "GET /Travel_Project/layerTest.jsp HTTP/1.1" 200 3405
0:0:0:0:0:0:0:1 - - [21/Aug/2018:07:27:09 +0900] "GET /Travel_Project/layerTest.jsp HTTP/1.1" 200 3403
0:0:0:0:0:0:0:1 - - [21/Aug/2018:07:27:12 +0900] "GET /Travel_Project/layerTest.jsp HTTP/1.1" 200 3403
0:0:0:0:0:0:0:1 - - [21/Aug/2018:07:29:55 +0900] "GET /Travel_Project/layerTest.jsp HTTP/1.1" 200 3492
0:0:0:0:0:0:0:1 - - [21/Aug/2018:07:30:18 +0900] "GET /Travel_Project/layerTest.jsp HTTP/1.1" 200 3490
0:0:0:0:0:0:0:1 - - [21/Aug/2018:07:31:03 +0900] "GET /Travel_Project/layerTest.jsp HTTP/1.1" 200 3357
0:0:0:0:0:0:0:1 - - [21/Aug/2018:07:31:07 +0900] "GET /Travel_Project/layerTest.jsp HTTP/1.1" 200 3357
0:0:0:0:0:0:0:1 - - [21/Aug/2018:07:31:38 +0900] "GET /Travel_Project/layerTest.jsp HTTP/1.1" 200 5027
0:0:0:0:0:0:0:1 - - [21/Aug/2018:07:32:16 +0900] "GET /Travel_Project/insertForm.jsp HTTP/1.1" 200 3361
0:0:0:0:0:0:0:1 - - [21/Aug/2018:07:32:16 +0900] "GET /Travel_Project/body_css_info.css HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [21/Aug/2018:09:13:21 +0900] "GET /Travel_Project/fileUpload2.jsp HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [21/Aug/2018:09:13:26 +0900] "POST /Travel_Project/fileUploadForm2.jsp HTTP/1.1" 200 444
0:0:0:0:0:0:0:1 - - [21/Aug/2018:09:16:44 +0900] "GET /Travel_Project/fileUpload2.jsp HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [21/Aug/2018:09:16:50 +0900] "POST /Travel_Project/fileUploadForm2.jsp HTTP/1.1" 200 444
0:0:0:0:0:0:0:1 - - [21/Aug/2018:09:19:37 +0900] "POST /Travel_Project/fileUploadForm2.jsp HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [21/Aug/2018:09:22:50 +0900] "GET /Travel_Project/fileUpload2.jsp HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [21/Aug/2018:09:22:56 +0900] "POST /Travel_Project/fileUploadForm2.jsp HTTP/1.1" 200 444
0:0:0:0:0:0:0:1 - - [21/Aug/2018:09:26:45 +0900] "GET /Travel_Project/fileUploadForm.jsp HTTP/1.1" 200 474
0:0:0:0:0:0:0:1 - - [21/Aug/2018:09:26:54 +0900] "POST /Travel_Project/fileUpload.jsp HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [21/Aug/2018:09:28:31 +0900] "GET /Travel_Project/fileUploadForm.jsp HTTP/1.1" 200 474
0:0:0:0:0:0:0:1 - - [21/Aug/2018:09:28:36 +0900] "POST /Travel_Project/fileUpload.jsp HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [21/Aug/2018:09:29:11 +0900] "GET /Travel_Project/fileUploadForm.jsp HTTP/1.1" 200 474
0:0:0:0:0:0:0:1 - - [21/Aug/2018:09:29:16 +0900] "POST /Travel_Project/fileUpload.jsp HTTP/1.1" 200 229
0:0:0:0:0:0:0:1 - - [21/Aug/2018:09:30:52 +0900] "GET /Travel_Project/fileUploadForm.jsp HTTP/1.1" 200 474
0:0:0:0:0:0:0:1 - - [21/Aug/2018:09:30:59 +0900] "POST /Travel_Project/fileUpload.jsp HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [21/Aug/2018:09:34:33 +0900] "GET /Travel_Project/fileUploadForm.jsp HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [21/Aug/2018:09:34:50 +0900] "POST /Travel_Project/imgadd.jsp?text=uploadimg HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [21/Aug/2018:09:35:15 +0900] "GET /Travel_Project/fileUploadForm.jsp HTTP/1.1" 200 645
0:0:0:0:0:0:0:1 - - [21/Aug/2018:09:35:27 +0900] "POST /Travel_Project/fileUpload.jsp?text=uploadimg HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [21/Aug/2018:09:35:27 +0900] "GET /Travel_Project/image/savaFile/uploadimg/mu.jpg HTTP/1.1" 200 300323
0:0:0:0:0:0:0:1 - - [21/Aug/2018:09:43:54 +0900] "GET /Travel_Project/index.jsp HTTP/1.1" 200 1679
0:0:0:0:0:0:0:1 - - [21/Aug/2018:09:43:54 +0900] "GET /Travel_Project/image/add.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:09:43:54 +0900] "GET /Travel_Project/image/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:09:43:54 +0900] "GET /Travel_Project/image/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:09:43:54 +0900] "GET /Travel_Project/image/travel2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:09:43:54 +0900] "GET /Travel_Project/font/AmaticSC-Bold.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:09:44:04 +0900] "GET /Travel_Project/insertForm.jsp HTTP/1.1" 200 3361
0:0:0:0:0:0:0:1 - - [21/Aug/2018:09:44:04 +0900] "GET /Travel_Project/body_css_info.css HTTP/1.1" 404 1109
